"","ProductName","reviewers","star_rates","date_of_review","text_review"
"12","PlayStation DualSense® Wireless Controller - Midnight Black","Christian ","5.0 out of 5 stars","April 4, 2024","







  
  
    My controller that came with ps5 has a bad type c port after years of general use. The first gen controllers were intentionally bad. Hopefully this one lasts.
  
"
"13","PlayStation DualSense® Wireless Controller - Midnight Black","Sherwin Ramsey","4.0 out of 5 stars","March 19, 2024","







  
  
    If you need to replace one of your controllers or my case you only have one, I recommend getting this PS five controller caveat because it’s a Sony controller it’s going to cost you $70. Back in the day you could get them for $40-$50 but not anymore; you’re looking at $70 a controller.
  
"
"14","PlayStation DualSense® Wireless Controller - Midnight Black","Granit","4.0 out of 5 stars","March 30, 2024","







  
  
    The controller is the best but the package of the controller was open ,the controller works amazing
  
"
"15","PlayStation DualSense® Wireless Controller - Midnight Black","Pamela","5.0 out of 5 stars","April 10, 2024","







  
  
    I like the color and the way it feels
  
"
"16","PlayStation DualSense® Wireless Controller - Midnight Black","Ariel Ortega","5.0 out of 5 stars","April 7, 2024","







  
    Muy buena calidad y sistema de vibración, muy cómodo al momento de jugar
  
  
"
"17","PlayStation DualSense® Wireless Controller - Midnight Black","bob lanoue","5.0 out of 5 stars","March 20, 2024","







  
  
    I ordered late last night and it arrived before I work up the next day!! Now that is some service and then some. Product is brand new and it will be fine as it was securely wrapped.
  
"
"18","PlayStation DualSense® Wireless Controller - Midnight Black","Joehl Crawford-Robinson","5.0 out of 5 stars","March 22, 2024","







  
  
    If you’re looking for another PS5 controller then this is the product for you lolThe charging station is pretty sweet…looks like a mini PS5 to a certain extent and works well
  
"
"19","PlayStation DualSense® Wireless Controller - Midnight Black","blueberryPLANET","4.0 out of 5 stars","March 7, 2024","







  
  
    When I got it and opened the box to my surprise there was greasy finger prints on it.. a bit gross but so far it feels durable hopefully there is no internal damage and this last longer then my original remote controller I’m hoping!
  
"
"20","PlayStation DualSense® Wireless Controller - Midnight Black","blueberryPLANET","5.0 out of 5 stars","April 9, 2024","







  
  
    He loved it
  
"
"21","PlayStation DualSense® Wireless Controller - Midnight Black","Anahit Minasyan","4.0 out of 5 stars","March 15, 2024","







  
  
    In the instruction it said ""the USB cable included with your console"" but there was no USB cable in the box.Other than that - everything works well so far.
  
"
"22","PlayStation DualSense® Wireless Controller - Midnight Black","Anahit Minasyan","5.0 out of 5 stars","March 26, 2024","







  
    El control llego totalmente nuevo, sin rayaduras o defectos. Todos sus botones estan funcionales, el altavoz y la vibración también estan intactos.
  
  
"
"23","PlayStation DualSense® Wireless Controller - Midnight Black","Andres Lopez Sosa","5.0 out of 5 stars","April 9, 2024","







  
    Muy buena
  
  
"
"24","PlayStation DualSense® Wireless Controller - Midnight Black","Andres Lopez Sosa","5.0 out of 5 stars","April 3, 2024","







  
    Excelente producto, llego antes de lo esperado.
  
  
"
"25","PlayStation DualSense® Wireless Controller - Midnight Black","Muy bueno","5.0 out of 5 stars","March 30, 2024","







  
  
    Brought it for my boyfriend. He now only uses this one versus the white one.
  
"
"26","PlayStation DualSense® Wireless Controller - Midnight Black","Gonzalo Torres","5.0 out of 5 stars","March 31, 2024","







  
  
    Shipping time was fine, product was exactly what I expected. No problems.
  
"
"27","PlayStation DualSense® Wireless Controller - Midnight Black","Briana0205","4.0 out of 5 stars","March 23, 2024","







  
  
    This controller works great.
  
"
"28","PlayStation DualSense® Wireless Controller - Midnight Black","Mark E Barber","4.0 out of 5 stars","March 7, 2024","







  
  
    Was a PlayStation controller, but was missing the charging cable which is key because it’s not just a charging cable. It’s the communication cable as required for syncing it with the PlayStation console.
  
"
"29","PlayStation DualSense® Wireless Controller - Midnight Black","Anthony Rogers","5.0 out of 5 stars","March 28, 2024","







  
  
    Delivery is unbelievable and my product is perfect
  
"
"30","PlayStation DualSense® Wireless Controller - Midnight Black","Antonoio R.","5.0 out of 5 stars","March 23, 2024","







  
  
    The controller I got with my PS5 got stick drift recently so I needed a new one. Good controller.
  
"
"31","PlayStation DualSense® Wireless Controller - Midnight Black","Franklin","5.0 out of 5 stars","March 27, 2024","







  
  
    I’m happy with the purchase!! Is a good quality controller.
  
"
"32","PlayStation DualSense® Wireless Controller - Midnight Black","alex  morell","5.0 out of 5 stars","April 3, 2024","







  
  
    Very good 👍
  
"
"33","PlayStation DualSense® Wireless Controller - Midnight Black","Amazon Customer","5.0 out of 5 stars","April 4, 2024","







  
  
    Great
  
"
"34","PlayStation DualSense® Wireless Controller - Midnight Black","RP","5.0 out of 5 stars","March 5, 2024","







  
  
    Perfect plug and play experience on a Mac.1) charged the controller2) paired to my Mac via Bluetooth, no additional software needed3) launched steam and played StrayThe controller itself is lightweight and is very comfortable to use. Would buy again.
  
"
"35","PlayStation DualSense® Wireless Controller - Midnight Black","Silvia Gonzalez","5.0 out of 5 stars","March 25, 2024","







  
  
    Works great all buttons work sticks work perfect definitely recommend!!
  
"
"36","PlayStation DualSense® Wireless Controller - Midnight Black","Silvia Gonzalez","5.0 out of 5 stars","March 13, 2024","







  
  
    I bought this because my PS 5 controller started having problems and PS wanted several months to fix mine. This one works very well.
  
"
"37","PlayStation DualSense® Wireless Controller - Midnight Black","1995pilot","5.0 out of 5 stars","April 2, 2024","







  
  
    👍
  
"
"38","PlayStation DualSense® Wireless Controller - Midnight Black","Yosemitesam","5.0 out of 5 stars","March 22, 2024","







  
  
    It is great, it works and I love the black color
  
"
"39","PlayStation DualSense® Wireless Controller - Midnight Black","Johan ","4.0 out of 5 stars","March 1, 2024","







  
  
    Controller does not come with a charging cable. Extremely disappointing, had to just buy a new cable for it.
  
"
"40","PlayStation DualSense® Wireless Controller - Midnight Black","CRG46","5.0 out of 5 stars","March 19, 2024","







  
    Mando original en color negro se ve genial, y todo en perfecto funcionamiento
  
  
"
"41","PlayStation DualSense® Wireless Controller - Midnight Black","Sha.Kee ","5.0 out of 5 stars","March 25, 2024","







  
  
    Controller 🎮 was good
  
"
"42","PlayStation DualSense® Wireless Controller - Midnight Black","Jamika Hasty","5.0 out of 5 stars","March 27, 2024","







  
  
    Works great
  
"
"43","PlayStation DualSense® Wireless Controller - Midnight Black","Jordan","5.0 out of 5 stars","March 19, 2024","







  
  
    Just as described and the color is very nice.
  
"
"44","PlayStation DualSense® Wireless Controller - Midnight Black","nelson adomako","5.0 out of 5 stars","March 20, 2024","







  
  
    a personal favorite.helped my gaming experience…great product
  
"
"45","PlayStation DualSense® Wireless Controller - Midnight Black","nelson adomako","5.0 out of 5 stars","March 21, 2024","







  
  
    Came fast good fit.
  
"
"46","PlayStation DualSense® Wireless Controller - Midnight Black","Corey Ware","5.0 out of 5 stars","March 8, 2024","







  
  
    Unlike the other controllers this feels completely matte. It's nice to the touch and blends in nicely with an all black build.
  
"
"47","PlayStation DualSense® Wireless Controller - Midnight Black","Jade","5.0 out of 5 stars","March 18, 2024","







  
  
    Easy to charge and works great
  
"
"48","PlayStation DualSense® Wireless Controller - Midnight Black","Amazon Customer","5.0 out of 5 stars","March 11, 2024","







  
  
    Product came well protected. The controller box was undamaged. Buy with confidence.
  
"
"49","PlayStation DualSense® Wireless Controller - Midnight Black","Bryan Moore","5.0 out of 5 stars","March 15, 2024","







  
  
    Very good product definitly i'll buy again
  
"
"50","PlayStation DualSense® Wireless Controller - Midnight Black","Melvin Garcia","5.0 out of 5 stars","February 27, 2024","







  
  
    Works like the original one that came with the PS5, you can choose different colors too.  If this sound like what you are looking for, then buy it.
  
"
